Fecha,Hora,Local,Visitante,Goles_local,Goles_Visitante,Tiros_Local,Tiros_Gol_Local,Tiros_Visitante,Tiros_Gol_Visitante,Posecion_Local,Posecion_Visitante,Temporada
2022-07-02,17:00:00,Necaxa,Toluca,1,3,12,4,6,3,0.51,0.49,Apertura 2022
2022-07-03,17:00:00,Chivas,Juarez,0,0,14,5,11,1,0.47,0.53,Apertura 2022
2022-07-01,21:05:00,Mazatlan,Puebla,2,4,13,6,18,7,0.42,0.66,Apertura 2022
2022-07-03,12:00:00,Pumas,Tijuana,1,1,13,4,4,1,0.6,0.4,Apertura 2022
2022-07-03,17:00:00,Atletico,Leon,1,2,9,2,15,8,0.56,0.44,Apertura 2022
2022-07-02,19:05:00,Tigres,Cruz Azul,2,3,21,6,6,3,0.33,0.66,Apertura 2022
2022-07-02,21:05:00,America,Atlas,0,0,16,3,8,1,0.54,0.46,Apertura 2022
2022-07-03,19:05:00,Santos,Monterrey,4,3,17,4,16,7,0.49,0.51,Apertura 2022
2022-07-04,21:00:00,Pachuca,Queretaro,2,0,17,5,9,1,0.53,0.47,Apertura 2022
2022-07-08,18:00:00,Mazatlan,Tigres,0,1,13,2,17,6,0.58,0.42,Apertura 2022
2022-07-08,19:00:00,Tijuana,Juarez,0,2,7,3,11,3,0.4,0.6,Apertura 2022
2022-07-08,21:05:00,Puebla,Santos,1,0,17,7,10,1,0.54,0.46,Apertura 2022
2022-07-10,12:00:00,Toluca,Atlas,3,2,14,9,25,7,0.49,0.51,Apertura 2022
2022-07-10,17:00:00,Queretaro,Necaxa,1,2,16,5,16,6,0.44,0.56,Apertura 2022
2022-07-09,19:00:00,Leon,Pumas,3,3,8,4,16,6,0.45,0.55,Apertura 2022
2022-07-09,19:05:00,Chivas,Atletico,0,1,19,4,4,1,0.64,0.36,Apertura 2022
2022-07-09,21:00:00,Monterrey,America,3,2,19,8,13,3,0.37,0.63,Apertura 2022
2022-07-09,21:05:00,Cruz Azul,Pachuca,1,2,7,1,18,6,0.43,0.57,Apertura 2022
2022-07-13,21:00:00,America,Toluca,1,0,26,2,10,2,0.61,0.39,Apertura 2022
2022-07-16,17:00:00,Atlas,Cruz Azul,3,2,13,4,18,4,0.66,0.34,Apertura 2022
2022-07-15,19:00:00,Puebla,Leon,1,1,11,5,9,3,0.45,0.55,Apertura 2022
2022-07-15,20:05:00,Juarez,Queretaro,1,1,13,3,9,3,0.61,0.39,Apertura 2022
2022-07-17,12:00:00,Pumas,Necaxa,1,0,15,6,11,2,0.43,0.57,Apertura 2022
2022-07-17,17:00:00,Atletico,Monterrey,0,1,12,1,18,4,0.37,0.63,Apertura 2022
2022-07-16,19:05:00,Santos,Chivas,1,1,10,5,18,6,0.47,0.53,Apertura 2022
2022-07-17,19:00:00,Tigres,Tijuana,1,0,17,3,6,2,0.56,0.44,Apertura 2022
2022-07-18,19:00:00,Pachuca,Mazatlan,1,1,23,4,8,6,0.66,0.34,Apertura 2022
2022-07-20,21:05:00,Chivas,Leon,0,0,12,2,12,4,0.37,0.63,Apertura 2022
2022-07-20,21:00:00,Queretaro,Monterrey,0,3,10,5,15,6,0.53,0.47,Apertura 2022
2022-07-23,17:00:00,Toluca,Santos,2,1,19,8,14,5,0.66,0.34,Apertura 2022
2022-07-22,18:00:00,Mazatlan,Atletico,1,1,18,3,22,11,0.59,0.41,Apertura 2022
2022-07-22,21:05:00,Necaxa,Juarez,1,0,7,3,18,4,0.36,0.64,Apertura 2022
2022-07-23,18:05:00,Tijuana,America,2,0,13,3,3,1,0.37,0.63,Apertura 2022
2022-07-23,17:05:00,Cruz Azul,Puebla,2,2,19,5,5,10,0.47,0.53,Apertura 2022
2022-07-23,21:05:00,Tigres,Atlas,2,0,33,13,7,0,0.73,0.27,Apertura 2022
2022-07-24,19:00:00,Pachuca,Pumas,0,0,19,4,8,3,0.63,0.37,Apertura 2022
2022-07-26,18:00:00,Juarez,Tigres,0,1,7,2,12,3,0.59,0.41,Apertura 2022
2022-07-26,19:00:00,Monterrey,Puebla,1,0,22,7,4,1,0.44,0.56,Apertura 2022
2022-07-26,19:00:00,Atlas,Tijuana,1,2,18,4,15,5,0.62,0.38,Apertura 2022
2022-07-26,21:05:00,Atletico,Cruz Azul,0,0,9,4,7,1,0.48,0.52,Apertura 2022
2022-07-26,21:05:00,Leon,Toluca,0,1,13,2,16,6,0.4,0.6,Apertura 2022
2022-07-27,19:00:00,Necaxa,Pachuca,2,0,9,3,15,3,0.41,0.59,Apertura 2022
2022-07-27,19:00:00,Queretaro,Chivas,2,2,14,7,12,3,0.51,0.49,Apertura 2022
2022-07-27,21:05:00,Pumas,Mazatlan,1,1,20,8,7,1,0.6,0.4,Apertura 2022
2022-07-30,17:00:00,Cruz Azul,Necaxa,1,0,7,4,17,3,0.42,0.58,Apertura 2022
2022-07-29,20:05:00,Juarez,Toluca,1,1,12,2,7,3,0.44,0.56,Apertura 2022
2022-07-31,12:00:00,Pumas,Monterrey,1,1,15,7,7,2,0.57,0.43,Apertura 2022
2022-07-30,19:05:00,Tijuana,Mazatlan,2,0,10,5,11,4,0.47,0.53,Apertura 2022
2022-07-30,19:05:00,Tigres,Queretaro,2,1,14,3,11,3,0.63,0.37,Apertura 2022
2022-07-30,21:05:00,Chivas,Pachuca,0,0,12,4,10,4,0.55,0.45,Apertura 2022
2022-07-30,21:05:00,Puebla,Atletico,0,0,28,2,10,4,0.65,0.35,Apertura 2022
2022-07-31,19:05:00,Santos,Atlas,1,0,10,2,17,2,0.46,0.54,Apertura 2022
2022-07-31,21:05:00,Leon,America,3,2,12,6,11,3,0.44,0.56,Apertura 2022
2022-08-02,21:00:00,Toluca,Puebla,1,1,20,7,17,5,0.62,0.38,Apertura 2022
2022-08-03,18:00:00,Juarez,Atletico,1,1,17,5,3,1,0.68,0.32,Apertura 2022
2022-08-04,21:00:00,Atlas,Queretaro,3,1,13,4,16,5,0.4,0.6,Apertura 2022
2022-08-05,20:05:00,Mazatlan,Chivas,2,1,16,4,12,4,0.5,0.5,Apertura 2022
2022-08-05,12:00:00,Toluca,Tijuana,3,1,27,10,10,8,0.62,0.38,Apertura 2022
2022-08-07,16:00:00,Atletico,Necaxa,1,2,12,3,12,4,0.58,0.42,Apertura 2022
2022-08-07,18:05:00,Pachuca,Tigres,2,0,19,6,9,3,0.58,0.42,Apertura 2022
2022-08-06,19:05:00,Monterrey,Leon,5,1,15,9,13,6,0.29,0.71,Apertura 2022
2022-08-06,21:00:00,Santos,Cruz Azul,4,0,17,9,11,1,0.51,0.49,Apertura 2022
2022-08-07,20:05:00,America,Juarez,2,1,16,6,13,4,0.48,0.52,Apertura 2022
2022-08-11,21:00:00,Queretaro,Atletico,1,1,16,6,8,2,0.52,0.48,Apertura 2022
2022-08-13,17:00:00,Leon,Mazatlan,0,3,12,1,8,5,0.7,0.3,Apertura 2022
2022-08-12,19:05:00,Tijuana,Puebla,3,3,12,4,13,4,0.46,0.54,Apertura 2022
2022-08-12,21:00:00,Necaxa,Monterrey,1,2,14,4,17,6,0.52,0.48,Apertura 2022
2022-08-14,17:00:00,Cruz Azul,Toluca,2,3,14,5,15,7,0.36,0.64,Apertura 2022
2022-08-13,19:05:00,Pumas,America,0,3,10,2,19,9,0.47,0.53,Apertura 2022
2022-08-13,21:05:00,Chivas,Atlas,1,1,23,6,8,4,0.57,0.43,Apertura 2022
2022-08-14,19:05:00,Tigres,Santos,2,0,19,7,21,6,0.51,0.49,Apertura 2022
2022-08-16,18:00:00,Mazatlan,Queretaro,1,1,7,6,15,7,0.56,0.44,Apertura 2022
2022-08-16,19:00:00,Atlas,Juarez,0,1,8,3,12,2,0.55,0.45,Apertura 2022
2022-08-16,21:05:00,Puebla,Necaxa,2,2,15,6,16,4,0.52,0.48,Apertura 2022
2022-08-17,19:00:00,Toluca,Monterrey,1,1,5,2,15,4,0.63,0.37,Apertura 2022
2022-08-17,21:05:00,Pachuca,America,0,3,10,4,14,6,0.51,0.49,Apertura 2022
2022-08-17,21:05:00,Cruz Azul,Tijuana,1,2,16,3,7,2,0.52,0.48,Apertura 2022
2022-08-18,19:05:00,Santos,Leon,2,1,19,6,5,1,0.58,0.42,Apertura 2022
2022-08-18,21:05:00,Atletico,Pumas,2,0,10,4,16,6,0.48,0.52,Apertura 2022
2022-08-20,17:00:00,Queretaro,Tijuana,2,0,10,4,10,1,0.38,0.62,Apertura 2022
2022-08-19,19:00:00,Necaxa,Chivas,0,4,15,1,13,6,0.57,0.43,Apertura 2022
2022-08-21,12:00:00,Pumas,Santos,1,5,19,5,15,9,0.56,0.44,Apertura 2022
2022-08-21,17:00:00,Atletico,Toluca,1,0,15,4,14,4,0.37,0.63,Apertura 2022
2022-08-20,19:05:00,Atlas,Puebla,1,1,13,5,10,4,0.54,0.46,Apertura 2022
2022-08-20,19:05:00,Monterrey,Tigres,0,0,13,1,11,3,0.48,0.52,Apertura 2022
2022-08-20,20:05:00,Juarez,Mazatlan,1,1,12,2,12,1,0.42,0.58,Apertura 2022
2022-08-20,21:05:00,America,Cruz Azul,7,0,18,7,9,1,0.59,0.41,Apertura 2022
2022-08-21,19:05:00,Pachuca,Leon,1,0,17,6,5,3,0.57,0.43,Apertura 2022
2022-08-23,19:05:00,Chivas,Monterrey,1,0,11,3,14,7,0.47,0.53,Apertura 2022
2022-08-23,21:05:00,Queretaro,America,0,1,13,2,15,4,0.43,0.57,Apertura 2022
2022-08-24,21:05:00,Pumas,Tigres,1,1,7,3,12,3,0.32,0.68,Apertura 2022
2022-08-25,19:05:00,Pachuca,Atlas,3,1,18,8,3,2,0.57,0.43,Apertura 2022
2022-08-25,19:05:00,Tijuana,Santos,0,2,24,4,21,7,0.54,0.46,Apertura 2022
2022-08-27,17:00:00,Cruz Azul,Queretaro,2,1,8,4,11,1,0.35,0.65,Apertura 2022
