equipo_local,equipo_visitante,goles_local,goles_visitante
Necaxa,San Luis,2,3
Club America,Queretaro,0,0
Monterrey,Chivas,0,1
UNAM,Juarez,2,1
Santos,UANL,0,3
Tijuana,Cruz Azul,1,1
Pachuca,Puebla,5,1
Atlas,Mazatlan,2,1
San Luis,Chivas,0,0
Puebla,Queretaro,2,0
Cruz Azul,Monterrey,2,3
Juarez,Tijuana,3,0
Toluca,Club America,2,2
Santos,UNAM,3,0
UANL,Pachuca,4,1
Leon,Necaxa,2,1
Mazatlan,Santos,1,2
Tijuana,UANL,1,1
Monterrey,San Luis,3,1
Club America,Puebla,2,2
Necaxa,Cruz Azul,1,0
Guadalajara,Toluca,1,2
UNAM,Leon,4,1
Queretaro,Atlas,3,3
Pachuca,Juarez,4,1
Atlas,Santos,2,2
Puebla,Monterrey,1,2
Tijuana,UNAM,0,0
UANL,San Luis,0,0
Juarez,Chivas,1,2
Club America,Mazatlan,6,0
Toluca,Leon,0,0
Pachuca,Necaxa,2,1
Atlas,Toluca,0,0
San Luis,Puebla,2,0
Necaxa,Tijuana,1,1
Mazatlan,Juarez,2,3
Leon,Pachuca,0,1
Cruz Azul,UANL,0,1
UNAM,Atlas,2,2
Chivas,Queretaro,1,1
Monterrey,Toluca,2,1
Queretaro,Leon,0,3
Atlas,Monterrey,0,2
Puebla,Mazatlan,3,1
Tijuana,San Luis,1,0
Club America,Necaxa,2,1
UANL,UNAM,4,2
Juarez,Santos,3,1
Pachuca,Chivas,1,1
Toluca,Cruz Azul,3,1
UANL,Juarez,0,0
Leon,Puebla,2,0
San Luis,Club America,1,3
Chivas,Tijuana,2,1
Monterrey,Queretaro,2,0
Necaxa,UNAM,3,1
Mazatlan,Pachuca,2,3
Juarez,Leon,0,0
Puebla,Cruz Azul,1,3
San Luis,Santos,1,1
Monterrey,Necaxa,2,1
Atlas,UANL,0,1
UNAM,Chivas,1,2
Queretaro,Mazatlan,1,1
