,,,,,,,,,,,,,,
,,,,,media,1.30555555555556,,,,,,,,
,,,,,ventaja Local,1,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,412.698179012346,,
,,,,,,,,,,,,,,
,Ataque ,Visita,,juegos,,Local,Visitante,Local,Visita,P Local,P Vista,Erro,,
,1.15,1.15,,1,Jueves 6 de Enero,San Luis,Pachuca,0,2,2.87,2.87,9.01043209876542,,
Pachuca,2,2,,2,Viernes 7 de Enero,Juárez,Necaxa,2,1,0.47,0.47,2.62180000000001,,
Tigres UANL,1.9,1.9,,3,Viernes 7 de Enero,Puebla,Club América,1,1,3.55,3.55,13.0163358024691,L,media*raiting ataque de local*rainting de defensa de la visita * ventaja Local
Atlas,1.8,1.8,,4,Sabado 8 de Enero,Monterrey,Querétaro,0,0,0.91,0.91,1.67038580246912,V,media*raiting ataque de visita*rainting de defensa de la local / ventaja Local
Club América,1.7,1.7,,5,Sabado 8 de Enero,Cruz Azul,Club Tijuana,2,0,0.68,0.68,2.20622469135803,,
Puebla,1.6,1.6,,6,Domingo 9 de Enero,Guadalajara,Mazatlán,3,0,1.76,1.76,4.6378125,,
Guadalajara,1.5,1.5,,7,Lunes 10 de Enero,Pumas UNAM,Toluca,5,0,0.78,0.78,18.3938888888889,,
Monterrey,1.4,1.4,,8,Martes 12 de Enero,Santos Laguna,Tigres UANL,1,1,1.74,1.74,1.08453719135801,,
Cruz Azul,1.3,1.3,,9,19 de Enero,León,Atlas,1,1,1.88,1.88,1.54879999999999,,
Necaxa,1.2,1.2,,10,14 de Enero,Querétaro,Pumas UNAM,1,3,0.65,0.65,5.63001543209878,,
San Luis,1.1,1.1,,11,14 de Enero,Necaxa,Monterrey,0,4,2.19,2.19,8.07475555555555,,
Pumas UNAM,0.999999999999999,0.999999999999999,,12,15 de Enero,Atlas,San Luis,1,0,2.59,2.59,9.19444999999998,,
Mazatlán,0.899999999999999,0.899999999999999,,13,15 de Enero,Tigres UANL,Puebla,0,2,3.97,3.97,19.6286024691358,,
León,0.799999999999999,0.799999999999999,,14,15 de Enero,Cruz Azul,Juárez,1,0,0.51,0.51,0.500168055555555,,
Santos Laguna,0.699999999999999,0.699999999999999,,15,15 de Enero,Club Tijuana,León,1,1,0.42,0.42,0.677965432098771,,
Toluca,0.599999999999999,0.599999999999999,,16,16 de Enero,Toluca,Santos Laguna,3,1,0.55,0.55,6.21467222222224,,
Querétaro,0.499999999999998,0.499999999999998,,17,16 de Enero,Pachuca,Guadalajara,2,1,3.92,3.92,12.1805555555555,,
Club Tijuana,0.399999999999998,0.399999999999998,,18,16 de Febrero,Mazatlán,Club América,2,1,2.00,2.00,0.995012499999994,,
Juárez,0.299999999999998,0.299999999999998,,19,20 de Enero,San Luis,Juárez,0,1,0.43,0.43,0.509568055555556,,
,,,,20,21 de Enero,Mazatlán,Toluca,1,2,0.70,0.70,1.76405000000001,,
,,,,21,22 de Enero,Guadalajara,Querétaro,1,1,0.98,0.98,0.000868055555556,,
,,,,22,22 de Enero,León,Pachuca,2,1,2.09,2.09,1.19358024691357,,
,,,,23,22 de Enero,Club América,Atlas,0,2,4.00,4.00,19.94005,,
,,,,24,22 de Enero,Monterrey,Cruz Azul,2,2,2.38,2.38,0.282919135802466,,
,,,,25,23 de Enero,Pumas UNAM,Tigres UANL,1,2,2.48,2.48,2.42297839506172,,
,,,,26,23 de Enero,Santos Laguna,Necaxa,1,4,1.10,1.10,8.43868888888891,,
,,,,27,28 de Enero,Puebla,Club Tijuana,3,1,0.84,0.84,4.71186172839508,,
,,,,28,5 de Febrero,Necaxa,Pachuca,1,3,3.13,3.13,4.56888888888888,,
,,,,29,5 de Febrero,Club América,San Luis,2,3,2.44,2.44,0.506870524691359,,
,,,,30,5 de Febrero,Club Tijuana,Pumas UNAM,1,0,0.52,0.52,0.500987654320987,,
,,,,31,6 de Febrero,Querétaro,Puebla,0,2,1.04,1.04,2.00395061728395,,
,,,,32,6 de Febrero,Atlas,Santos Laguna,2,1,1.65,1.65,0.542049999999998,,
,,,,33,6 de Febrero,Tigres UANL,Mazatlán,4,3,2.23,2.23,3.71311250000001,,
,,,,34,7 de Febrero,León,Cruz Azul,0,1,1.36,1.36,1.97156543209876,,
,,,,35,9 de Febrero,Juárez,Guadalajara,1,3,0.59,0.59,5.99031250000002,,
,,,,36,11 de Febrero,Mazatlán,Club Tijuana,2,0,0.47,0.47,2.56180000000001,,
,,,,37,11 de Febrero,Puebla,Atlas,1,1,3.76,3.76,15.2352,,
,,,,38,12 de Febrero,San Luis,Toluca,0,1,0.86,0.86,0.761605555555552,,
,,,,39,12 de Febrero,Cruz Azul,Necaxa,1,2,2.04,2.04,1.07602222222222,,
,,,,40,12 de Febrero,Santos Laguna,Club América,2,3,1.55,1.55,2.2913038580247,,
,,,,41,13 de Febrero,Pumas UNAM,León,2,1,1.04,1.04,0.915061728395067,,
,,,,42,14 de Febrero,Pachuca,Querétaro,2,2,1.31,1.31,0.964506172839517,,
,,,,43,18 de Febrero,Puebla,Monterrey,1,0,2.92,2.92,12.255861728395,,
,,,,44,18 de Febrero,Juárez,Santos Laguna,0,0,0.27,0.27,0.15033472222222,,
,,,,45,18 de Febrero,Club Tijuana,Necaxa,1,1,0.63,0.63,0.27875555555556,,
,,,,46,19 de Febrero,Querétaro,Mazatlán,2,0,0.59,0.59,2.3403125,,
,,,,47,19 de Febrero ,Tigres UANL,San Luis,2,1,2.73,2.73,3.51897052469135,,
,,,,48,19 de Febrero,León,Guadalajara,2,1,1.57,1.57,0.508888888888888,,
,,,,49,20 de Febrero,Club América,Pachuca,1,3,4.44,4.44,13.8963580246914,,
,,,,50,20 de Febrero,Toluca,Cruz Azul,1,4,1.02,1.02,8.89067222222224,,
,,,,51,20 de Febrero,Atlas,Pumas UNAM,0,0,2.35,2.35,11.045,,
,,,,52,24 de Febrero,Pachuca,Mazatlán,3,1,2.35,2.35,2.245,,
,,,,53,24 de Febrero,Querétaro,Toluca,1,1,0.39,0.39,0.740138888888894,,
,,,,54,25 de Febrero,Necaxa,León,0,1,1.25,1.25,1.63502222222221,,
,,,,55,25 de Febrero,Juárez,Tigres UANL,2,3,0.74,0.74,6.66590138888892,,
,,,,56,25 de Febrero,Club Tijuana,Atlas,2,0,0.94,0.94,2.0072,,
,,,,57,26 de Febrero,Monterrey,San Luis,0,2,2.01,2.01,4.04244506172839,,
,,,,58,26 de Febrero,Guadalajara,Puebla,2,3,3.13,3.13,1.30222222222222,,
,,,,59,26 de Febrero,Pumas UNAM,Club América,0,0,2.22,2.22,9.85186728395059,,
,,,,60,27 de Febrero,Cruz Azul,Santos Laguna,1,0,1.19,1.19,1.44684089506172,,
,,,,61,1 de Marzo,Toluca,Club Tijuana,1,2,0.31,0.31,3.31635555555557,,
,,,,62,1 de Marzo,Puebla,Juárez,1,1,0.63,0.63,0.278755555555561,,
,,,,63,1 de Marzo,Club América,Querétaro,1,1,1.11,1.11,0.024077932098764,,
,,,,64,1 de Marzo,León,Monterrey,0,0,1.46,1.46,4.27618765432097,,
,,,,65,1 de Marzo,Mazatlán,Necaxa,0,0,1.41,1.41,3.97619999999998,,
,,,,66,2 de Marzo,Atlas,Pachuca,0,1,4.70,4.70,35.78,,
,,,,67,2 de Marzo,Tigres UANL,Cruz Azul,2,2,3.22,3.22,2.99988904320987,,
,,,,68,2 de Marzo,San Luis,Guadalajara,2,2,2.15,2.15,0.047534722222221,,
,,,,69,2 de Marzo,Santos Laguna,Pumas UNAM,3,2,0.91,0.91,5.53149691358026,,
,,,,70,4 de Marzo,Necaxa,Toluca,0,1,0.94,0.94,0.887199999999995,,
,,,,71,4 de Marzo,Juárez,León,0,1,0.31,0.31,0.569688888888891,,
,,,,72,5 de Marzo,Querétaro,Atlas,0,3,1.18,1.18,4.71125000000001,,
,,,,73,5 de Marzo,Monterrey,Club América,2,1,3.11,3.11,5.66632654320986,,
,,,,74,5 de Marzo,Cruz Azul,Puebla,1,3,2.72,2.72,3.02403950617283,,
,,,,75,5 de Marzo,Guadalajara,Santos Laguna,1,0,1.37,1.37,2.01670138888888,,
,,,,76,11 de Marzo,Necaxa,Querétaro,1,0,0.78,0.78,0.660555555555552,,
