,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,Local,Visita,Local,Visita,,,,,,Locaal,,Visita,,Promedio,,,,Indices,,,
1,0,Mazatlán,Puebla,2,4,,,#Partido,GF,GC,Goles Favor,Goles Contra,Goles Favor,Goles Contra,GFL,GCL,GFV,GCV,IAL,IDL,IAV,IDV
1,1,Guadalajara,Juárez,0,0,Mas 6 es la celda,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,2,Necaxa,Toluca,1,3,0,Pachuca,15,28,15,17,6,11,9,1.13333333333333,0.4,0.733333333333333,0.6,1.3421052631579,0.58695652173913,1.08791208791209,0.7
1,3,Tigres UANL,Cruz Azul,2,3,1,Tigres UANL,15,23,14,12,6,11,8,0.8,0.4,0.733333333333333,0.533333333333333,0.947368421052632,0.58695652173913,1.08791208791209,0.6
1,4,Club América,Atlas,0,0,2,Atlas,15,16,27,10,10,6,17,0.666666666666667,0.666666666666667,0.4,1.13333333333333,0.789473684210526,0.978260869565217,0.593406593406593,1.4
1,5,Pumas UNAM,Club Tijuana,1,1,3,Club América,15,38,17,20,6,18,11,1.33333333333333,0.4,1.2,0.733333333333333,1.57894736842105,0.58695652173913,1.78021978021978,0.9
1,6,San Luis,León,1,2,4,Puebla,15,25,23,13,11,12,12,0.866666666666667,0.733333333333333,0.8,0.8,1.02631578947368,1.07608695652174,1.18681318681319,1.0
1,7,Santos Laguna,Monterrey,4,3,5,Guadalajara,15,19,16,7,6,12,10,0.466666666666667,0.4,0.8,0.666666666666667,0.552631578947368,0.58695652173913,1.18681318681319,0.8
1,8,Pachuca,Querétaro,2,0,6,Monterrey,15,29,13,14,5,15,8,0.933333333333333,0.333333333333333,1,0.533333333333333,1.10526315789474,0.489130434782609,1.48351648351648,0.6
1,9,Mazatlán,Tigres UANL,0,1,7,Cruz Azul,15,26,34,15,12,11,22,1,0.8,0.733333333333333,1.46666666666667,1.18421052631579,1.17391304347826,1.08791208791209,1.8
1,10,Puebla,Santos Laguna,1,0,8,Necaxa,15,19,26,11,15,8,11,0.733333333333333,1,0.533333333333333,0.733333333333333,0.868421052631579,1.46739130434783,0.791208791208791,0.9
1,11,Club Tijuana,Juárez,0,2,9,San Luis,15,15,23,7,12,8,11,0.466666666666667,0.8,0.533333333333333,0.733333333333333,0.552631578947368,1.17391304347826,0.791208791208791,0.9
1,12,León,Pumas UNAM,3,3,10,Pumas UNAM,15,25,32,15,16,10,16,1,1.06666666666667,0.666666666666667,1.06666666666667,1.18421052631579,1.56521739130435,0.989010989010989,1.3
1,13,Guadalajara,San Luis,0,1,11,Mazatlán,15,15,19,9,12,6,7,0.6,0.8,0.4,0.466666666666667,0.710526315789474,1.17391304347826,0.593406593406593,0.6
1,14,Cruz Azul,Pachuca,1,2,12,León,15,23,27,14,12,9,15,0.933333333333333,0.8,0.6,1,1.10526315789474,1.17391304347826,0.89010989010989,1.2
1,15,Monterrey,Club América,3,2,13,Santos Laguna,15,35,21,21,7,14,14,1.4,0.466666666666667,0.933333333333333,0.933333333333333,1.65789473684211,0.684782608695652,1.38461538461538,1.1
1,16,Toluca,Atlas,3,2,14,Toluca,15,23,22,13,12,10,10,0.866666666666667,0.8,0.666666666666667,0.666666666666667,1.02631578947368,1.17391304347826,0.989010989010989,0.8
1,17,Querétaro,Necaxa,1,2,15,Querétaro,15,18,35,10,13,8,22,0.666666666666667,0.866666666666667,0.533333333333333,1.46666666666667,0.789473684210526,1.27173913043478,0.791208791208791,1.8
1,18,Puebla,León,1,1,16,Club Tijuana,15,16,28,9,13,7,15,0.6,0.866666666666667,0.466666666666667,1,0.710526315789474,1.27173913043478,0.692307692307692,1.2
1,19,Juárez,Querétaro,1,1,17,Juárez,15,17,18,11,10,6,8,0.733333333333333,0.666666666666667,0.4,0.533333333333333,0.868421052631579,0.978260869565217,0.593406593406593,0.6
1,20,Atlas,Cruz Azul,3,2,,,,410,410,,,,,0.844444444444444,0.681481481481482,0.674074074074074,0.837037037037037,,,,
1,21,Santos Laguna,Guadalajara,1,1,,,,,,,,,,,,,,,,,
1,22,Pumas UNAM,Necaxa,1,0,,Promedio de goles,2.98550724637681,,,,,,,,,0.67200256195266,,,,,
1,23,Club América,Toluca,1,0,,,,,,,,,,,,,,,,,
1,24,San Luis,Monterrey,0,1,,,,Necaxa,,,,,,,,,,,,,
1,25,Tigres UANL,Club Tijuana,1,0,,,0,1,2,3,4,5,6,,,,,,,,
1,26,Pachuca,Mazatlán,1,1,,0,,,,,,,,,Local,0,,,,,
1,27,Guadalajara,León,0,0,,1,,,,,,,,,Empte,0,,,,,
1,28,Querétaro,Monterrey,0,3,,2,,,,,,,,,Visista,0,,,,,
1,29,Mazatlán,San Luis,1,1,,3,,,,,,,,,,,,,,,
1,30,Necaxa,Juárez,1,0,,4,,,,,,,,,,,,,,,
1,31,Toluca,Santos Laguna,2,1,,5,,,,,,,,,Mas 2.5,0,,,,,
1,32,Cruz Azul,Puebla,2,2,,6,,,,,,,,,Menos 2.5,0,,,,,
1,33,Tigres UANL,Atlas,2,0,,,,,,,,,,,,,,,,,
