,Equipo,PL,90 s,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG
,América,32,17,26,242,91,37.6,14.24,5.35,0.11,0.29,18.1,8,0,0,24.7,24.7,0.11,1.3,1.3
0,Atlas,24,17,16,204,46,22.5,12,2.71,0.08,0.35,19.3,8,0,0,16.7,16.7,0.08,-0.7,-0.7
1,Atlético,26,17,26,215,78,36.3,12.65,4.59,0.1,0.28,19,8,4,4,22.3,19.2,0.09,3.7,2.8
2,Cruz Azul,25,17,39,280,91,32.5,16.47,5.35,0.13,0.38,18,7,4,5,31.3,27.4,0.1,7.7,7.6
3,FC Juárez,29,17,22,210,67,31.9,12.35,3.94,0.1,0.3,19.9,10,2,3,17.5,15.2,0.07,4.5,4.8
4,Guadalajara,27,17,23,227,67,29.5,13.35,3.94,0.09,0.31,18.4,8,2,2,21.9,20.4,0.09,1.1,0.6
5,León,29,17,21,208,74,35.6,12.24,4.35,0.1,0.27,20,8,1,3,18.2,15.8,0.08,2.8,4.2
6,Mazatlán,27,17,10,230,65,28.3,13.53,3.82,0.04,0.15,18.8,8,0,1,21.6,20.7,0.09,-11.6,-10.7
7,Monterrey,26,17,26,231,72,31.2,13.59,4.24,0.1,0.31,19.4,7,4,5,26.9,23,0.1,-0.9,-1
8,Necaxa,25,17,20,248,79,31.9,14.59,4.65,0.07,0.22,19.5,5,3,3,21.7,19.3,0.08,-1.7,-2.3
9,Pachuca,30,17,19,236,70,29.7,13.88,4.12,0.08,0.27,20.4,5,0,1,19.9,19.1,0.08,-0.9,-0.1
10,Puebla,25,17,17,204,61,29.9,12,3.59,0.06,0.21,21.5,4,4,4,18.3,15.2,0.08,-1.3,-2.2
11,Querétaro,30,17,13,180,54,30,10.59,3.18,0.07,0.24,19.1,6,0,0,14.3,14.3,0.08,-1.3,-1.3
12,Santos,33,17,12,173,59,34.1,10.18,3.47,0.06,0.19,20,22,1,1,15.9,15.1,0.09,-3.9,-4.1
13,Tijuana,24,17,24,229,81,35.4,13.47,4.76,0.08,0.23,20,5,5,5,22.9,18.9,0.08,1.1,0.1
14,Toluca,26,17,36,219,89,40.6,12.88,5.24,0.16,0.39,18.4,8,1,2,25.5,23.9,0.11,10.5,11.1
15,UANL,25,17,25,269,80,29.7,15.82,4.71,0.08,0.26,18.7,10,4,5,27.3,23.4,0.09,-2.3,-2.4
16,UNAM,24,17,20,250,80,32,14.71,4.71,0.07,0.23,18.9,5,2,3,25.5,23.2,0.09,-5.5,-5.2
17,,,,,,,,,,,,,,,,,,,,
