,Equipo,PL,90_s,Gls_,Dis,DaP,__de_TT,T_90,TalArc_90,G_T,G_TalArc,Dist,FK,TP,TPint,xG,npxG,npxG_Sh,G_xG,np_G_xG
0,América,0.8888888888888888,0.0,0.5517241379310345,0.6448598130841123,0.9999999999999998,0.8342541436464088,0.6454689984101749,1.0000000000000002,0.5833333333333334,0.5833333333333331,0.028571428571429358,0.2222222222222222,0.0,0.0,0.6117647058823529,0.7938931297709924,1.0,0.583710407239819,0.5504587155963303
1,Atlas,0.0,0.0,0.2068965517241379,0.2897196261682242,0.0,0.0,0.28934817170111304,0.0,0.33333333333333337,0.8333333333333331,0.3714285714285719,0.2222222222222222,0.0,0.0,0.14117647058823524,0.18320610687022887,0.25,0.49321266968325794,0.45871559633027525
2,Atlético,0.22222222222222232,0.0,0.5517241379310345,0.39252336448598113,0.711111111111111,0.7624309392265192,0.3926868044515104,0.7121212121212122,0.5000000000000001,0.5416666666666666,0.2857142857142856,0.2222222222222222,0.8,0.8,0.47058823529411764,0.3740458015267174,0.5,0.6923076923076923,0.6192660550458715
3,Cruz Azul,0.11111111111111116,0.0,1.0,1.0,0.9999999999999998,0.5524861878453038,1.0000000000000002,1.0000000000000002,0.7500000000000001,0.9583333333333331,0.0,0.16666666666666663,0.8,1.0,1.0,0.9999999999999998,0.75,0.8733031674208145,0.8394495412844036
4,FC Juárez,0.5555555555555554,0.0,0.4137931034482758,0.3457943925233644,0.46666666666666656,0.5193370165745854,0.34499205087440377,0.46590909090909105,0.5000000000000001,0.6249999999999999,0.5428571428571427,0.33333333333333337,0.4,0.6000000000000001,0.18823529411764695,0.06870229007633566,0.0,0.7285067873303168,0.7110091743119267
5,Guadalajara,0.3333333333333335,0.0,0.4482758620689655,0.5046728971962615,0.46666666666666656,0.3867403314917126,0.5039745627980923,0.46590909090909105,0.41666666666666663,0.6666666666666666,0.11428571428571388,0.2222222222222222,0.4,0.4,0.4470588235294116,0.46564885496183184,0.5,0.574660633484163,0.518348623853211
6,León,0.5555555555555554,0.0,0.3793103448275862,0.3271028037383177,0.6222222222222222,0.7237569060773481,0.3275039745627981,0.6212121212121213,0.5000000000000001,0.5000000000000001,0.5714285714285712,0.2222222222222222,0.2,0.6000000000000001,0.22941176470588232,0.11450381679389299,0.25,0.6515837104072398,0.6834862385321101
7,Mazatlán,0.3333333333333335,0.0,0.0,0.532710280373832,0.42222222222222205,0.3204419889502761,0.532591414944356,0.4204545454545454,0.0,0.0,0.22857142857142865,0.2222222222222222,0.0,0.2,0.4294117647058825,0.4885496183206106,0.5,0.0,0.0
8,Monterrey,0.22222222222222232,0.0,0.5517241379310345,0.542056074766355,0.5777777777777777,0.48066298342541414,0.5421303656597776,0.5795454545454548,0.5000000000000001,0.6666666666666666,0.39999999999999947,0.16666666666666663,0.8,1.0,0.7411764705882352,0.6641221374045803,0.75,0.4841628959276018,0.44495412844036697
9,Necaxa,0.11111111111111116,0.0,0.3448275862068966,0.7009345794392523,0.7333333333333332,0.5193370165745854,0.7011128775834659,0.7348484848484851,0.2500000000000001,0.29166666666666663,0.4285714285714288,0.05555555555555558,0.6000000000000001,0.6000000000000001,0.4352941176470587,0.38167938931297707,0.25,0.4479638009049774,0.3853211009174312
10,Pachuca,0.6666666666666665,0.0,0.31034482758620685,0.5887850467289719,0.5333333333333332,0.39779005524861866,0.5882352941176474,0.5340909090909092,0.33333333333333337,0.5000000000000001,0.685714285714285,0.05555555555555558,0.0,0.2,0.3294117647058822,0.36641221374045796,0.25,0.4841628959276018,0.4862385321100917
11,Puebla,0.11111111111111116,0.0,0.2413793103448275,0.2897196261682242,0.33333333333333326,0.4088397790055247,0.28934817170111304,0.3333333333333335,0.16666666666666663,0.25,1.0,0.0,0.8,0.8,0.23529411764705876,0.06870229007633566,0.25,0.4660633484162896,0.38990825688073394
12,Querétaro,0.6666666666666665,0.0,0.10344827586206895,0.06542056074766367,0.1777777777777776,0.41436464088397784,0.06518282988871227,0.1780303030303032,0.2500000000000001,0.3749999999999999,0.31428571428571495,0.1111111111111111,0.0,0.0,0.0,0.0,0.25,0.4660633484162896,0.4311926605504587
13,Santos,1.0,0.0,0.06896551724137928,0.0,0.28888888888888875,0.6408839779005524,0.0,0.28787878787878807,0.16666666666666663,0.16666666666666663,0.5714285714285712,0.9999999999999999,0.2,0.2,0.09411764705882353,0.061068702290076216,0.5,0.3484162895927602,0.30275229357798167
14,Tijuana,0.0,0.0,0.48275862068965514,0.5233644859813085,0.7777777777777777,0.7127071823204418,0.5230524642289349,0.7765151515151516,0.33333333333333337,0.33333333333333337,0.5714285714285712,0.05555555555555558,1.0,1.0,0.5058823529411763,0.35114503816793885,0.25,0.574660633484163,0.4954128440366973
15,Toluca,0.22222222222222232,0.0,0.896551724137931,0.4299065420560746,0.9555555555555555,0.9999999999999998,0.4292527821939587,0.9583333333333337,1.0,0.9999999999999999,0.11428571428571388,0.2222222222222222,0.2,0.4,0.6588235294117647,0.7328244274809159,1.0,1.0,1.0
16,UANL,0.11111111111111116,0.0,0.5172413793103448,0.8971962616822431,0.7555555555555555,0.39779005524861866,0.8966613672496029,0.7575757575757578,0.33333333333333337,0.45833333333333337,0.20000000000000018,0.33333333333333337,0.8,1.0,0.7647058823529412,0.6946564885496183,0.5,0.4208144796380091,0.38073394495412843
17,UNAM,0.0,0.0,0.3448275862068966,0.7196261682242993,0.7555555555555555,0.5248618784530386,0.7201907790143085,0.7575757575757578,0.2500000000000001,0.33333333333333337,0.2571428571428571,0.05555555555555558,0.4,0.6000000000000001,0.6588235294117647,0.6793893129770991,0.5,0.27601809954751133,0.25229357798165136
